状態,銘柄,取引区分,条件,売買,発注数,値段,トリガー,予約値段,受付日時,有効期間,益出し幅,損切り幅,有効期間,状態,約定数,約定単価,約定時間
約定済,日経225mini22年06月限,返済(一日),-,売,1,成行,-,-,22/06/06 10:47,当場,-,-,-,-,1,27745,10:47
取消済,日経225mini22年06月限,返済(一日),追跡,売,1,27840,27735,成行,22/06/06 10:43,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,買,1,27740,-,-,22/06/06 10:43,当場,100,-15,当場,発注済,1,27740,10:43
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,27725,成行,22/06/06 10:21,当場,-,-,-,-,1,27725,10:24
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,27725,成行,22/06/06 10:21,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,買,1,27740,-,-,22/06/06 10:21,当場,100,-15,当場,発注済,1,27740,10:23
約定済,日経225mini22年06月限,返済(一日),追跡,買,1,成行,27720,成行,22/06/06 10:01,当場,-,-,-,-,1,27720,10:11
訂正済失効,日経225mini22年06月限,返済(一日),追跡,買,1,成行,27720,成行,22/06/06 10:01,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,売,1,27705,-,-,22/06/06 10:01,当場,-100,15,当場,発注済,1,27705,10:08
約定済,日経225mini22年06月限,返済(一日),-,売,1,成行,-,-,22/06/06 09:58,当場,-,-,-,-,1,27725,09:58
取消済,日経225mini22年06月限,返済(一日),追跡,売,1,27820,27710,成行,22/06/06 09:53,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,買,1,成行,-,-,22/06/06 09:53,当場,100,-15,当場,発注済,1,27720,09:53
訂正済失効,日経225mini22年06月限,新規(一日),-,買,1,成行,-,-,22/06/06 09:51,当場,取消済,取消済,取消済,取消済,-,-,-
約定済,日経225mini22年06月限,返済(一日),追跡,売,1,成行,27700,成行,22/06/06 09:49,当場,-,-,-,-,1,27700,09:50
訂正済失効,日経225mini22年06月限,返済(一日),追跡,売,1,成行,27700,成行,22/06/06 09:49,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,買,1,成行,-,-,22/06/06 09:49,当場,100,-15,当場,発注済,1,27715,09:49
約定済,日経225mini22年06月限,返済(一日),追跡,買,1,成行,27710,成行,22/06/06 09:45,当場,-,-,-,-,1,27710,09:49
訂正済失効,日経225mini22年06月限,返済(一日),追跡,買,1,成行,27710,成行,22/06/06 09:45,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,売,1,27695,-,-,22/06/06 09:45,当場,-100,15,当場,発注済,1,27695,09:47
約定済,日経225mini22年06月限,返済(一日),追跡,買,1,成行,27705,成行,22/06/06 09:39,当場,-,-,-,-,1,27705,09:42
訂正済失効,日経225mini22年06月限,返済(一日),追跡,買,1,成行,27705,成行,22/06/06 09:39,当場,-,-,-,-,-,-,-
約定済,日経225mini22年06月限,新規(一日),-,売,1,27690,-,-,22/06/06 09:39,当場,-100,15,当場,発注済,1,27690,09:42
