DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,17:00:00,3308.7,3312.8,3299.4,3306.4,1820,0,6,00:00:00
2020.09.23,17:30:00,3306.4,3308.6,3295.7,3301.2,1924,0,6,00:30:00
2020.09.23,18:00:00,3300.9,3306.9,3294.2,3295.7,2319,0,6,01:00:00
2020.09.23,18:30:00,3296.9,3298.7,3284.2,3285.2,1630,0,6,01:30:00
2020.09.23,19:00:00,3285.0,3292.0,3281.2,3289.0,1563,0,6,02:00:00
2020.09.23,19:30:00,3288.7,3296.7,3286.5,3296.5,1399,0,6,02:30:00
2020.09.23,20:00:00,3296.4,3297.0,3288.0,3288.5,1337,0,6,03:00:00
2020.09.23,20:30:00,3288.5,3289.9,3276.1,3279.6,1212,0,6,03:30:00
2020.09.23,21:00:00,3279.6,3279.6,3255.9,3258.6,2293,0,6,04:00:00
2020.09.23,21:30:00,3258.6,3261.9,3243.9,3245.6,2893,0,6,04:30:00
2020.09.23,22:00:00,3245.9,3249.6,3234.9,3245.9,3070,0,6,05:00:00
2020.09.23,22:30:00,3246.1,3249.4,3230.9,3236.1,3184,0,6,05:30:00
2020.09.24,17:00:00,3231.7,3255.8,3231.4,3236.3,2050,0,6,00:00:00
2020.09.24,17:30:00,3236.3,3241.9,3222.3,3241.5,2017,0,6,00:30:00
2020.09.24,18:00:00,3241.3,3245.0,3228.5,3239.8,1816,0,6,01:00:00
2020.09.24,18:30:00,3239.5,3255.0,3238.5,3254.8,1447,0,5,01:30:00
2020.09.24,19:00:00,3255.0,3262.5,3253.8,3257.3,1270,0,6,02:00:00
2020.09.24,19:30:00,3257.3,3261.3,3245.0,3260.5,1168,0,6,02:30:00
2020.09.24,20:00:00,3260.8,3274.0,3259.8,3272.5,1135,0,6,03:00:00
2020.09.24,20:30:00,3272.5,3277.8,3266.3,3267.8,1362,0,6,03:30:00
2020.09.24,21:00:00,3267.8,3270.3,3253.0,3256.3,1388,0,6,04:00:00
2020.09.24,21:30:00,3255.5,3265.4,3238.3,3239.3,1525,0,6,04:30:00
2020.09.24,22:00:00,3239.5,3248.5,3228.8,3232.8,1815,0,6,05:00:00
