DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,14:30:00,23347,23367,23337,23342,129,0,7,21:30:00
2020.09.23,15:00:00,23342,23347,23332,23342,177,0,7,22:00:00
2020.09.23,15:30:00,23342,23352,23332,23342,194,0,7,22:30:00
2020.09.24,14:30:00,23146,23156,23101,23106,209,0,8,21:30:00
2020.09.24,15:00:00,23106,23111,23071,23096,264,0,6,22:00:00
2020.09.24,15:30:00,23096,23096,23046,23066,427,0,6,22:30:00
2020.09.25,14:30:00,23031,23084,23026,23076,430,0,6,21:30:00
2020.09.25,15:00:00,23076,23086,23061,23069,436,0,6,22:00:00
2020.09.25,15:30:00,23066,23096,23051,23091,259,0,6,22:30:00
2020.09.28,14:30:00,23462,23487,23462,23482,154,0,7,21:30:00
2020.09.28,15:00:00,23486,23502,23482,23487,213,0,7,22:00:00
2020.09.28,15:30:00,23487,23497,23487,23487,112,0,7,22:30:00
2020.09.29,14:30:00,23511,23513,23488,23488,189,0,7,21:30:00
2020.09.29,15:00:00,23493,23493,23468,23488,253,0,7,22:00:00
2020.09.29,15:30:00,23488,23498,23473,23488,139,0,7,22:30:00
2020.09.30,14:30:00,23248,23248,23228,23238,274,0,7,21:30:00
2020.09.30,15:00:00,23238,23248,23223,23248,483,0,7,22:00:00
2020.09.30,15:30:00,23248,23293,23248,23273,375,0,7,22:30:00
2020.10.01,14:30:00,23347,23362,23342,23347,161,0,3,21:30:00
2020.10.01,15:00:00,23352,23352,23307,23322,239,0,3,22:00:00
2020.10.01,15:30:00,23322,23342,23308,23317,226,0,3,22:30:00
2020.10.02,14:30:00,23012,23017,22992,23002,222,0,4,21:30:00
2020.10.02,15:00:00,23002,23043,23002,23042,189,0,3,22:00:00
2020.10.02,15:30:00,23042,23042,22998,23017,334,0,3,22:30:00
2020.10.05,14:30:00,23302,23312,23297,23297,126,0,4,21:30:00
2020.10.05,15:00:00,23297,23307,23287,23297,199,0,3,22:00:00
2020.10.05,15:30:00,23297,23307,23297,23307,158,0,4,22:30:00
2020.10.06,14:30:00,23382,23397,23382,23387,132,0,3,21:30:00
2020.10.06,15:00:00,23387,23407,23372,23397,128,0,3,22:00:00
2020.10.06,15:30:00,23397,23413,23392,23412,201,0,3,22:30:00
2020.10.07,14:30:00,23427,23437,23418,23437,99,0,4,21:30:00
2020.10.07,15:00:00,23437,23442,23427,23432,135,0,3,22:00:00
2020.10.07,15:30:00,23432,23442,23427,23432,112,0,4,22:30:00
2020.10.08,14:30:00,23642,23642,23627,23632,131,0,4,21:30:00
2020.10.08,15:00:00,23632,23663,23627,23657,249,0,4,22:00:00
2020.10.08,15:30:00,23657,23657,23633,23652,184,0,3,22:30:00
2020.10.09,14:30:00,23587,23602,23587,23592,82,0,3,21:30:00
2020.10.09,15:00:00,23592,23597,23578,23587,94,0,3,22:00:00
2020.10.09,15:30:00,23587,23602,23582,23597,90,0,4,22:30:00
2020.10.12,14:30:00,23552,23567,23547,23562,97,0,3,21:30:00
2020.10.12,15:00:00,23562,23572,23553,23562,150,0,3,22:00:00
2020.10.12,15:30:00,23562,23572,23562,23562,78,0,4,22:30:00
2020.10.13,14:30:00,23573,23578,23553,23568,156,0,3,21:30:00
2020.10.13,15:00:00,23568,23568,23553,23558,193,0,3,22:00:00
2020.10.13,15:30:00,23558,23563,23533,23543,131,0,3,22:30:00
2020.10.14,14:30:00,23588,23593,23568,23588,224,0,3,21:30:00
2020.10.14,15:00:00,23588,23603,23578,23593,214,0,3,22:00:00
2020.10.14,15:30:00,23593,23598,23583,23593,300,0,3,22:30:00
2020.10.15,14:30:00,23407,23412,23393,23402,319,0,3,21:30:00
2020.10.15,15:00:00,23402,23402,23377,23382,292,0,3,22:00:00
2020.10.15,15:30:00,23382,23382,23367,23367,378,0,3,22:30:00
2020.10.16,14:30:00,23442,23457,23442,23442,104,0,3,21:30:00
2020.10.16,15:00:00,23442,23452,23438,23442,202,0,3,22:00:00
2020.10.16,15:30:00,23446,23472,23438,23467,195,0,3,22:30:00
2020.10.19,14:30:00,23652,23652,23643,23647,174,0,3,21:30:00
2020.10.19,15:00:00,23647,23647,23627,23637,230,0,3,22:00:00
2020.10.19,15:30:00,23637,23642,23617,23627,157,0,3,22:30:00
2020.10.20,14:30:00,23597,23597,23587,23592,117,0,4,21:30:00
2020.10.20,15:00:00,23592,23597,23538,23562,315,0,3,22:00:00
2020.10.20,15:30:00,23562,23577,23553,23572,161,0,3,22:30:00
2020.10.21,14:30:00,23537,23552,23532,23547,209,0,3,21:30:00
2020.10.21,15:00:00,23547,23557,23537,23552,315,0,3,22:00:00
2020.10.21,15:30:00,23552,23562,23548,23552,241,0,3,22:30:00
2020.10.22,14:30:00,23537,23542,23532,23537,232,0,3,21:30:00
2020.10.22,15:00:00,23542,23542,23522,23522,92,0,3,22:00:00
2020.10.22,15:30:00,23522,23537,23502,23512,350,0,3,22:30:00
2020.10.23,14:30:00,23567,23577,23563,23567,214,0,3,21:30:00
2020.10.23,15:00:00,23572,23577,23563,23572,138,0,3,22:00:00
2020.10.23,15:30:00,23572,23587,23572,23572,174,0,3,22:30:00
2020.10.26,14:30:00,23452,23457,23442,23452,217,0,3,21:30:00
2020.10.26,15:00:00,23452,23467,23447,23462,162,0,3,22:00:00
2020.10.26,15:30:00,23462,23482,23457,23472,441,0,3,22:30:00
2020.10.27,14:30:00,23452,23457,23432,23438,186,0,3,21:30:00
2020.10.27,15:00:00,23442,23447,23427,23437,224,0,3,22:00:00
2020.10.27,15:30:00,23437,23447,23417,23437,549,0,3,22:30:00
2020.10.28,14:30:00,23237,23237,23172,23187,535,0,3,21:30:00
2020.10.28,15:00:00,23187,23223,23172,23218,533,0,3,22:00:00
2020.10.28,15:30:00,23217,23253,23207,23227,859,0,3,22:30:00
2020.10.29,14:30:00,23197,23247,23192,23222,579,0,8,21:30:00
2020.10.29,15:00:00,23222,23232,23202,23207,431,0,7,22:00:00
2020.10.29,15:30:00,23207,23242,23167,23232,939,0,8,22:30:00
2020.10.30,14:30:00,23057,23097,23052,23087,350,0,8,21:30:00
2020.10.30,15:00:00,23087,23112,23062,23112,294,0,8,22:00:00
2020.10.30,15:30:00,23112,23142,23082,23102,666,0,8,22:30:00
2020.11.02,14:30:00,23392,23402,23367,23377,397,0,8,21:30:00
2020.11.02,15:00:00,23377,23407,23377,23407,254,0,8,22:00:00
2020.11.02,15:30:00,23407,23412,23392,23397,367,0,8,22:30:00
2020.11.03,14:30:00,23767,23772,23742,23747,207,0,8,21:30:00
